Solving 9×9 grid using CONSTRAINT PROGRAMMING
Method: OR-Tools CP-SAT (guaranteed optimal)

Testing config 712... → 16.0 tiles
Testing config 713... → 16.0 tiles
Testing config 714... → 16.0 tiles
Testing config 715... → 16.0 tiles
Testing config 716... → 16.0 tiles
Testing config 717... → 16.0 tiles
Testing config 718... → 16.0 tiles
Testing config 719... → 16.0 tiles
Testing config 720... → 16.0 tiles
Testing config 721... → 16.0 tiles
Testing config 722... → 16.0 tiles
Testing config 723... → 16.0 tiles
Testing config 724... → 16.0 tiles
Testing config 725... → 16.0 tiles
Testing config 726... → 16.0 tiles
Testing config 727... → 16.0 tiles
Testing config 728... → 16.0 tiles
Testing config 729... → 16.0 tiles
Testing config 730... → 16.0 tiles
Testing config 731... → 16.0 tiles
Testing config 732... → 15.0 tiles
Testing config 733... → 16.0 tiles
Testing config 734... → 16.0 tiles
Testing config 735... → 15.0 tiles
Testing config 736... → 16.0 tiles
Testing config 737... → 16.0 tiles
Testing config 738... → 16.0 tiles
Testing config 739... → 16.0 tiles
Testing config 740... → 16.0 tiles
Testing config 741... → 16.0 tiles
Testing config 742... → 16.0 tiles
Testing config 743... → 16.0 tiles
Testing config 744... → 16.0 tiles
Testing config 745... → 16.0 tiles
Testing config 746... → 16.0 tiles
Testing config 747... → 16.0 tiles
Testing config 748... → 16.0 tiles
Testing config 749... → 16.0 tiles
Testing config 750... → 16.0 tiles
Testing config 751... → 16.0 tiles
Testing config 752... → 16.0 tiles
Testing config 753... → 16.0 tiles
Testing config 754... → 16.0 tiles
Testing config 755... → 16.0 tiles
Testing config 756... → 15.0 tiles
Testing config 757... → 16.0 tiles
Testing config 758... → 15.0 tiles
Testing config 759... → 16.0 tiles
Testing config 760... → 16.0 tiles
Testing config 761... → 16.0 tiles
Testing config 762... → 15.0 tiles
Testing config 763... → 16.0 tiles
Testing config 764... → 15.0 tiles
Testing config 765... → 15.0 tiles
Testing config 766... → 16.0 tiles
Testing config 767... → 16.0 tiles
Testing config 768... → 15.0 tiles
Testing config 769... → 16.0 tiles
Testing config 770... → 16.0 tiles
Testing config 771... → 16.0 tiles
Testing config 772... → 15.0 tiles
Testing config 773... → 15.0 tiles
Testing config 774... → 16.0 tiles
Testing config 775... → 15.0 tiles
Testing config 776... → 16.0 tiles
Testing config 777... → 16.0 tiles
Testing config 778... → 16.0 tiles
Testing config 779... → 16.0 tiles
Testing config 780... → 15.0 tiles
Testing config 781... → 16.0 tiles
Testing config 782... → 16.0 tiles
Testing config 783... → 15.0 tiles
Testing config 784... → 16.0 tiles
Testing config 785... → 16.0 tiles
Testing config 786... → 16.0 tiles
Testing config 787... → 16.0 tiles
Testing config 788... → 15.0 tiles
Testing config 789... → 16.0 tiles
Testing config 790... → 15.0 tiles
Testing config 791... → 15.0 tiles
Testing config 792... → 16.0 tiles
Testing config 793... → 16.0 tiles
Testing config 794... → 16.0 tiles
Testing config 795... → 15.0 tiles
Testing config 796... → 16.0 tiles
Testing config 797... → 16.0 tiles
Testing config 798... → 15.0 tiles
Testing config 799... → 15.0 tiles
Testing config 800... → 16.0 tiles
Testing config 801... → 15.0 tiles
Testing config 802... → 16.0 tiles
Testing config 803... → 16.0 tiles
Testing config 804... → 16.0 tiles
Testing config 805... → 15.0 tiles
Testing config 806... → 16.0 tiles
Testing config 807... → 15.0 tiles
